SeneddID,CategoryCaption,CategoryID,EntryInRespectOf,EntrySubject
425,"2. Category 2: Remunerated employment, office, profession etc",2,Member,Occasional broadcasting fees (S.O. 4.3 - Band 1 – Less than 5 hours a week)
425,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,"Spent a day with representatives of the British Horseracing Authority on the site of nearby stables and also Bangor-on-Dee Racecourse. Refreshments were provided during the day in the ""Paddock"", the cost of which was £108.00 (£90.00 plus VAT). The cost included a ticket to the races and dinner.

The name of the individual or the company that made the gift: Bangor-on-Dee Racecourse"
425,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,Two tickets plus hospitality to see Wales v Estonia in Cardiff from the Football Association of Wales
425,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,Ticket and hospitality for Wales v France rugby match on the 11 March 2022 from BT Group
425,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,"Ticket (including dinner, valued at £75) to the Annual Welsh Racing Awards at the Celtic Manor, Newport from the British Horseracing Authority"
425,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,Lunch/hospitality and entry ticket to Welsh Grand National at Chepstow from the British Horseracing Authority on 27 December 2022. Total value of hospitality was £225.00.
425,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,Member - Ticket and hospitality for the Wales v. Armenia game on 16 June 2023 from the Football Association of Wales
425,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,Match ticket and hospitality (valued at £375 plus VAT) provided by the BT Group for the Wales v Scotland Six Nations Rugby fixture in Cardiff on 3 February 2024.
425,6. Category 6: Financial sponsorship,6,Candidate,All 2021 Senedd election costs paid for by Plaid Cymru's North Wales Regional Commitee.
425,8. Category 8: Land and property,8,Member,Member owns a rented property in Ruthin.
425,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - Board of Governors - Ysgol Pentrecelyn
425,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,"Member - University of Glyndwr Court, Wrexham"
425,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - British Veterinary Association
425,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - British Institute of Innkeeping
425,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Chair - Board of Governors - Ysgol Pentrecelyn
425,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - Royal Welsh Agricultural Society
425,12. Record of the employment of family members,12,Name: Angela Owen Griffiths,Capacity in which employed: Communications Officer for Plaid Cymru Senedd Group
425,12. Record of the employment of family members,12,Family Member of: Peredur Owen Griffiths,Date employment commenced: 17 May 2023 (ceased on 23 June 2023)
425,12. Record of the employment of family members,12,Relationship to the MS: Spouse,Contracted hours: 37
