SeneddID,CategoryCaption,CategoryID,EntryInRespectOf,EntrySubject
8594,"2. Category 2: Remunerated employment, office, profession etc",2,Member,"General survey completion on an occasional basis, all money donated to charity (SO 4.3 - Band 1 - Less than 5 hours per week)"
8594,"2. Category 2: Remunerated employment, office, profession etc",2,Member,Received a one-off payment of $200 (£163.32) on 30 November 2022 from Give Back Yoga Foundation for being a presenter at the online international Yoga and Recovery Symposium: Healing from addiction and eating disorders'. This is not ongoing work and was one presenting session of approximately 1.5 hours (S.O. 4.3 - Band 1 - Less than 5 hours per week)
8594,6. Category 6: Financial sponsorship,6,Candidate,"All 2021 Senedd election expenses paid by Bridgend Constituency Labour Party, including donations from Unison, GMB, The Communication Workers Union, Fire Brigades Union and Co-operative Party. Donations-in-kind received from Unite the Union and Community Union."
8594,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - Bridgend Lifesavers Credit Union
8594,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - Unite the Union
8594,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - Unison
8594,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - GMB Union
8594,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - CWU
8594,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - Co-operative Party
8594,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - Woodland Trust
8594,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,"Member - Union of Shop, Distributive and Allied Workers"
8594,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - The Bevan Foundation
8594,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Vice-President - Porthcawl Male Choir
