SeneddID,CategoryCaption,CategoryID,EntryInRespectOf,EntrySubject
4983,"2. Category 2: Remunerated employment, office, profession etc",2,Member,Social Work England registration – potential to partake in voluntary placement over next 5 years to continue professional registration (SO 4.3 - Band 1 - Less than 5 hours per week) (ceased)
4983,"2. Category 2: Remunerated employment, office, profession etc",2,Member,Duke Street Church - provision of child protection training (unpaid) (SO 4.3 - Band 1 - Less than 5 hours per week) (ceased)
4983,"2. Category 2: Remunerated employment, office, profession etc",2,Spouse,"Social Worker, Great Ormond Street Hospital (4 days a week)"
4983,"2. Category 2: Remunerated employment, office, profession etc",2,Member,Payment for petrol for return travel to Pawb a’i Farn on 30 March 2023 by Tinopolis (total cost £76.95)
4983,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,"Two day tickets to Green Man Festival 2023 on 20 August 2023 from Green Man Trust (the Member and her husband will be attending and donating the equivalent of a day ticket to Green Man Trust, which is a total of £180)"
4983,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,"Greyhound Wales Trust dinner, 16 October 2023"
4983,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,"Message Wales dinner, 18 October 2023"
4983,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,"Powys Business Awards dinner, 20 October 2023"
4983,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Trustee - Potters House Kenya (ceased)
4983,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,School Governor - Hay-on-Wye County Primary School
4983,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - Greyhound Rescue Wales
4983,11. Record of membership of societies,11,NA,"Church Secretary - Bethesda Church, Hay-on-Wye (ceased)
Church Treasurer as of 28 April 2024."
4983,11. Record of membership of societies,11,NA,"Member of the council of the Evangelical Alliance. Two meetings per year, unpaid."
