SeneddID,CategoryCaption,CategoryID,EntryInRespectOf,EntrySubject
543,"2. Category 2: Remunerated employment, office, profession etc",2,Member,"Councillor, Pen y Fai Ward - Bridgend County Borough Council (SO 4.3 - Band 2 - Between 5 hours and 20 hours per week). Part-time and received £14,217.96 pay with £2,843.40 deducted in tax up to 5 April 2021. (ceased on 5 May 2022)"
543,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member and spouse,Tickets and hospitality for Ospreys v. Leicester Tigers rugby match on 11 December 2022 from BT Group.
543,6. Category 6: Financial sponsorship,6,Candidate,Senedd election expenses met by the Welsh Conservative Party.
543,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,President - South Wales West Regional Conservative Party
543,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,"Councillor – Newcastle Higher Community Council, Pen Y Fai, Bridgend (ceased on 5 May 2022)"
543,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,"Governor – Church in Wales Primary School, Pen y Fai, Bridgend (ceased on 5 May 2022)"
543,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,"Councillor, Pen y Fai Ward, Bridgend County Borough Council, Bridgend (ceased on 5 May 2022)"
543,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,"Chairman Board of Trustees - Brynawel Rehab House, Llanharan (ceased on December 2021)"
543,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - Bridgend Community Health Council (ceased)
543,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - Cwm Taf Morgannwg Community Health Council (ceased)
543,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,"Trustee - Brynawel Rehab House, Llanharan (ceased on 22 December 2022)"
543,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,"Patron - Brynawel Rehab House, Llanharan"
543,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,.,.
