SeneddID,CategoryCaption,CategoryID,EntryInRespectOf,EntrySubject
8579,"2. Category 2: Remunerated employment, office, profession etc",2,Spouse,"Communications Officer, Plaid Cymru"
8579,"2. Category 2: Remunerated employment, office, profession etc",2,Member,"Received £75 for one recording session for S4C's Dechrau Canu, Dechrau Canmol prgoramme as a member of a choir. This is not ongoing work - it was one session of approximately 5 hours (SO 4.3 -Band 1 - Less than 5 hours per week)"
8579,"2. Category 2: Remunerated employment, office, profession etc",2,Member,Received £55 from Tinopolis to cover travel and appearance on Pawb a'i Farn in Llanelli on 1 December 2022 (SO 4.3 - Band 1 - Less than 5 hours per week)
8579,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,Ticket to the Wales v France rugby match to sing the anthem on the pitch before the game with CF1 choir on 11 March 2022. Provided by the WRU through CF1 choir.
8579,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,Two tickets and hospitality to Dragons v Gloucester on 9 April 2022 from BT - guest was Member's support staff.
8579,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,Tickets for Bafta Cymru for the Member and his wife from Channel 4 - tickets for the event and the after-show party.
8579,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,Tickets for the Member and his wife to the recording of the Luke Evans Christmas Show in the ICC Wales from BBC Cymru (including a pre-recording drinks reception) on 10 November 2022.
8579,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member and partner,Tickets for the BBC Cardiff Singer of the World.
8579,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,"Participated in the North American Festival of Wales in Lincoln, Nebraska on 29 August – 4 September 2023, organised by the Welsh North America Association. Took part in events and gave two seminars. Member was accompanied by his wife at the festival. Hospitality included hotel accommodation at the Marriott Cornhusker ($798.54), festival weekend passes ($160), tickets to the opening concert ($50), grand banquet tickets ($140), and grand concert tickets ($80). Total value of hospitality was $1228.54 (£986.03)."
8579,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member and partner,"Tickets to a reception and concert by Catrin Finch and Aoife Ni Bhriain on 10 November 2023 in the Royal College of Music and Drama supplied by the Irish Consul, worth £22 each."
8579,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member and partner,Tickets to the 25th anniversary celebration of Cardiff Muslim School worth £25 each from the trustees of the charity for my wife and me.
8579,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member and partner,Two tickets for the Member and his wife to the Mothers Matter – Ball of Hope 2024 on 14 September 2024. Provided by Heledd Fychan MS.
8579,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member and partner,Tickets for a reception and performance of the WNO's Marriage of Figaro at the WMC. Provided by the WNO.
8579,6. Category 6: Financial sponsorship,6,Candidate,All 2021 election costs were paid for by Plaid Cymru.
8579,7. Category 7: Overseas visits,7,Member,"26 May 2022 - Valencia, Spain - To participate in a four-day week summit alongside other politicians and experts - Paid for by the Vice-Ministry of Employment, Valencian Government."
8579,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,"Councillor and Member – Community Councillor for Trecenydd, Penyrheol and Energlyn (intending to stand down at the next election and has not received any financial benefit as a councillor since becoming a Member of the Senedd) (ceased in May 2022)"
8579,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Governor at Ysgol Gymraeg Bro Teyrnon
8579,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Chair,Vice Chair – Eisteddfod yr Urdd Newport 2027 Executive Committee
