SeneddID,CategoryCaption,CategoryID,EntryInRespectOf,EntrySubject
332,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,Invitation to EFL Championship play off final 2021 from the English Football League.
332,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,Occasional Swansea City football club matches attended during the season from Swansea City AFC
332,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member and spouse,Tickets to Arctic Monkeys concert from Swansea City AFC
332,6. Category 6: Financial sponsorship,6,Candidate,Election Expenses paid by Swansea East Labour Party.
332,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,President Ynystawe cricket and football club
332,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Vice President Morriston Town
332,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,President Morriston Ladies choir
332,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,President Swansea hard of hearing group
332,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Vice President Friends of the heart of Wales line
332,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Patron Paul Popham fund
332,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Patron Swansea veterans
332,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Singleton singers
332,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Morriston RFC choir
332,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Morriston Orpheus
332,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Co-op party
332,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Labour party
332,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Fabian society
332,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Socialist Education  Association
332,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Socialist Health association
332,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,UNISON
332,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,UNITE
332,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,GMB
332,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Friends of the earth
332,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Amnesty
332,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Seion Newydd chapel
332,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Daughter,Aelwyd jmj
332,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Daughter,Coda cor
332,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Daughter,Ieuenctid Ynys Mon on
332,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Honorary president – Penlan AFC
332,11. Record of membership of societies,11,NA,Member - Fabian Society
