SeneddID,CategoryCaption,CategoryID,EntryInRespectOf,EntrySubject
4970,"2. Category 2: Remunerated employment, office, profession etc",2,Member,Member of the House of Lords (SO4.3 - Band 1- less than 5 hours per week) (taken formal leave of absence)
4970,"2. Category 2: Remunerated employment, office, profession etc",2,Spouse,GP
4970,6. Category 6: Financial sponsorship,6,Candidate,2021 Senedd election expenses met by the Labour Party.
4970,6. Category 6: Financial sponsorship,6,Candidate,"Support to finance postage and printing of internal selection leaflet - £3,500 sponsorship from Unite the Union."
4970,11. Record of membership of societies,11,NA,Member - Unite the Union
4970,11. Record of membership of societies,11,NA,Member - Amnesty International
4970,11. Record of membership of societies,11,NA,Member - European Movement
4970,12. Record of the employment of family members,12,Name: Laura Murton,Capacity in which the employee is employed: Labour Group policy and coordination officer
4970,12. Record of the employment of family members,12,Family Member of: Hannah Blythyn MS,Date which employment commenced: 24 July 2024
4970,12. Record of the employment of family members,12,Relationship to MS: Spouse,Hours contracted to work: 37
