SeneddID,CategoryCaption,CategoryID,EntryInRespectOf,EntrySubject
6571,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,Ticket to Wales v New Zealand on 30 October 2021 from Bute Energy
6571,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,One ticket and hospitality to Wales v Ukraine on 5 June 2022 from the Football Association of Wales
6571,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,Two tickets plus hospitality to Royal International Air Tattoo (RIAT) 2022 on 16 July 2022 from Airbus UK
6571,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,Two tickets plus hospitality to Chester Races on Friday 14 July 2023 from Edwards Homes
6571,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,One ticket plus hospitality to The Senior Open on Sunday 30 July 2023 from BHF Cymru.
6571,6. Category 6: Financial sponsorship,6,Member,Senedd election 2021 campaign expenses met by Alyn and Deeside constituency Labour Party and Connah’s Quay Branch Labour Party.
6571,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - Unite the Union
6571,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - Community Union
6571,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Honorary Member - Royal Welsh Fusiliers - Shotton and Deeside
6571,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Club Ambassador - Connah’s Quay Nomads Football Club
6571,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Honorary Member - British Institute of Inn Keeping (BII)
6571,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member of 5G EDC project consortium
6571,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,"Other memberships include Bangor University, Vodafone, Comtek, Sorrento Networks, Fibrespeed, Fotech Solutions and ITS"
6571,12. Record of the employment of family members,12,Martin Gerald White,"Capacity in which employed: Part-time
Caseworker"
6571,12. Record of the employment of family members,12,Family member of: Jack Sargeant MS,Date employment commenced: 2 March 2018
6571,12. Record of the employment of family members,12,Relationship to MS: Uncle,Hours contracted to work: 22.2
