SeneddID,CategoryCaption,CategoryID,EntryInRespectOf,EntrySubject
143,1. Category 1: Directorships,1,Member,T.J. Davies & Sons – Farming Business (SO 4.3 - Band 2 – between 5 and 20 hours per week).
143,"2. Category 2: Remunerated employment, office, profession etc",2,Member,Partner in T.J. Davies & Sons – Farming Business (SO 4.3 - Band 2 – between 5 and 20 hours per week). Business is in receipt of agricultural support distributed by Welsh Government.
143,"2. Category 2: Remunerated employment, office, profession etc",2,Member,Councillor - Vale of Glamorgan Council (SO 4.3 - Band 2 - Between 5 hours and 20 hours per week)
143,"2. Category 2: Remunerated employment, office, profession etc",2,Member,Received £60 for completing market research survey from YouGov (SO 4.3 - Band 1 - Less than 5 hours per week)
143,"2. Category 2: Remunerated employment, office, profession etc",2,Member,Received £90 for completing survey from Ipsos MORI UK Ltd (SO 4.3 - Band 1 - Less than 5 hours per week).
143,"2. Category 2: Remunerated employment, office, profession etc",2,Member,Received £50 for completing survey from Savanta Comres (SO 4.3 - Band 1 - Less than 5 hours per week)
143,"2. Category 2: Remunerated employment, office, profession etc",2,Member,"General survey completion on an occasional basis for various market research companies, including YouGov, Savanta ComRes and Ipsos MORI (SO 4.3 - Band 1 - Less than 5 hours per week)"
143,6. Category 6: Financial sponsorship,6,Member,2021 Senedd election expenses were met by the Welsh Conservative Party – South Wales Central
143,8. Category 8: Land and property,8,Member,Farmland and building in the Vale of Glamorgan
143,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - National Farmers’ Union
143,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - Vale of Glamorgan Agricultural Society
143,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,President - Llantrisant Young Farmers’ Club
143,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member and Life Governor - Royal Welsh Agricultural Society
143,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Trustee - Tomorrow’s Generation charity
