SeneddID,CategoryCaption,CategoryID,EntryInRespectOf,EntrySubject
8585,"2. Category 2: Remunerated employment, office, profession etc",2,Member,Councillor - Powys County Borough Council (SO 4.3 - Band 1 - Less than 5 hours per week) (ceased in May 2022)
8585,"2. Category 2: Remunerated employment, office, profession etc",2,Spouse,Edge of Care Worker - Powys County Council
8585,"2. Category 2: Remunerated employment, office, profession etc",2,Member,"General survey completion on an occasional basis, all money donated to charity. (SO 4.3 - Band 1 - Less than 5 hours per week)."
8585,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member and spouse,Welsh Grand National hospitality tickets from the British Horseracing Authority on 27 December 2022. Tickets were £225 each.
8585,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,Parliamentary shoot from the British Association for Shooting and Conservation
8585,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member and spouse,Tickets to the Grand National at Aintree on 13 April 2024 from the Jockey Club.
8585,6. Category 6: Financial sponsorship,6,Candidate,2021 Senedd election expenses met by the Welsh Conservative Party and the Brecon and Radnorshire Conservative Association.
8585,7. Category 7: Overseas visits,7,Member,1 February 2024 – 14 February 2024 – The Falklands Islands - To meet the Falkland Islands Government and Legislative Assembly and to learn about the challenges and future of the islands. To promote the links between Wales and the Falkland Islands and to learn more about Wales's contribution to the history and culture of the islands. All costs covered by the Falkland Islands Government.
8585,8. Category 8: Land and property,8,Member and partner,"Family home, Middlewood Farm, Bwlch"
8585,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Gwernyfed Rugby Club
8585,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Radnor YFC
8585,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Breconshire YFC
8585,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Royal Welsh Agricultural Society
8585,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,National Farmers Union
8585,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Cradoc Golf Club
8585,11. Record of membership of societies,11,NA,Llangynidr Show – Vice President
8585,11. Record of membership of societies,11,NA,Llyswen Show – Vice President
8585,11. Record of membership of societies,11,NA,Brecon Cricket Club – Vice President
8585,11. Record of membership of societies,11,NA,National Trust - Member
