SeneddID,CategoryCaption,CategoryID,EntryInRespectOf,EntrySubject
145,"2. Category 2: Remunerated employment, office, profession etc",2,Spouse,Financial administrator for Hywel Dda University Health Board (Ceased on 8 October 2023)
145,"2. Category 2: Remunerated employment, office, profession etc",2,Spouse,"Exam and administration assistant at Coleg Ceredigion, an education provider in receipt of Welsh Government funding. Employment commenced on 29 November 2023."
145,6. Category 6: Financial sponsorship,6,Member,Election expenses for 2021 Senedd election paid by Welsh Conservative Party
145,9. Category 9: Shareholdings,9,Member,Shares in Lloyds Bank
145,9. Category 9: Shareholdings,9,Spouse,Shares in Lloyds Bank
145,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - North Pembrokeshire Transport Forum
145,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,President - Pembrokeshire Peoples First Member
145,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - Clynderwen and District Young Farmers Show Society
145,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - Friends of Theatr Gwaun
145,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - Pembrokeshire Agricultural Society
145,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - Paul Sartori Foundation
145,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Spouse,Member - Clynderwen and District Young Farmers Show Society
145,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Spouse,Member - Pembrokeshire Agricultural Society
145,11. Record of membership of societies,11,NA,Patron - Cleddau Community Arts
145,11. Record of membership of societies,11,NA,
145,11. Record of membership of societies,11,NA,
145,11. Record of membership of societies,11,NA,
145,11. Record of membership of societies,11,NA,
