SeneddID,CategoryCaption,CategoryID,EntryInRespectOf,EntrySubject
584,1. Category 1: Directorships,1,Spouse,Director of Flattout Design Limited (electronic engineering design)
584,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,RSPB
584,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,National Trust
584,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,World Wide Fund for Nature (WWF)
584,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Woodland Trust
584,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Aberglasney Gardens
584,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Amnesty international
584,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Greenpeace
584,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Royal Horticultural Society
584,12. Record of the employment of family members,12,Name: Oliver James-Flatt,Capacity in which employed: Press and Communications Officer
584,12. Record of the employment of family members,12,Family Member of: Julie James MS,Date which employment commenced: 21 August 2019
584,12. Record of the employment of family members,12,Relationship to MS: Son,Hours contracted to work: 30
