SeneddID,CategoryCaption,CategoryID,EntryInRespectOf,EntrySubject
2717,1. Category 1: Directorships,1,Member,Director – Rhun ap Iorwerth Ltd – Jouralism Company (SO 4.3 - Band 1 – Less than 5 hours a week)
2717,1. Category 1: Directorships,1,Member,Director – Paradwys Ltd – Property company (SO 4.3 - Band 1 – Less than 5 hours a week)
2717,1. Category 1: Directorships,1,Spouse,Director – Paradwys Ltd - Property company
2717,1. Category 1: Directorships,1,Spouse,Director - Ateb Cyntaf Ltd - Language services
2717,1. Category 1: Directorships,1,Spouse,Director - Port-a (Ateb) Ltd - Language services
2717,1. Category 1: Directorships,1,Spouse,Director - GROUP ED Ltd - Education software
2717,"2. Category 2: Remunerated employment, office, profession etc",2,Member,Occasional work presenting public events and occasional contributions to television/ radio programmes (SO 4.3 - Band 1 – Less than 5 hours a week)
2717,"2. Category 2: Remunerated employment, office, profession etc",2,Spouse,Executive Director Ateb Cyntaf Ltd - Language service
2717,"2. Category 2: Remunerated employment, office, profession etc",2,Spouse,Executive Director - Port-a (Ateb) Ltd - Language service
2717,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,Ticket and hospitality to the Wales v. England rugby match on 25 February 2023 from the BT Group
2717,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,Ticket and hospitality for the Wales v. Latvia football match on 28 March 2023 from the Football Association of Wales
2717,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,Ticket and hospitality for Wales v. Armenia football match on 16 June 2023 from S4C
2717,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,Ticket and hospitality for the Wales v. Poland football match on 26 March 2024 from the Football Association of Wales.
2717,6. Category 6: Financial sponsorship,6,Member,The Ynys Môn election costs for 2021 were paid by Plaid  Cymru
2717,8. Category 8: Land and property,8,Member and Spouse,"Paradwys Ltd, the company that the member and his spouse are directors of, own a house which is rented out on a long-term basis in Cardiff."
2717,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Spouse,Member –  Ysgol Gyfun Llangefni Governor
2717,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Spouse,Member – Cynefin Group Board
2717,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Spouse,Member - Llangristiolus and Cerrigceinwen Community Council since 5 May 2022
2717,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,.,.
2717,11. Record of membership of societies,11,NA,Member of the National Union of Journalists
2717,11. Record of membership of societies,11,NA,.
2717,12. Record of the employment of family members,12,Name: Angela Owen Griffiths,Capacity in which employed: Communications Officer for Plaid Cymru Senedd Group
2717,12. Record of the employment of family members,12,Family Member of: Peredur Owen Griffiths,Date employment commenced: 24 June 2023 (ceased on 3 November 2023)
2717,12. Record of the employment of family members,12,Relationship to the MS: Spouse,Contracted hours: 37
